,Name,id,Year,AuctionValue,rank,AuctionValueAvg,AuctionChange,AB,H,AVG,2B,3B,HR,BB,K,SLG,OBP,OPS,R,RBI,SB,GIDP,IPOUTS,H_OPP,HR_OPP,ER,K_OPP,BB_OPP,W,L,WHIP,ERA,SV,HD,QS
0,NULL,2021,2021,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Nick Ramirez,32140,2021,1,1248,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,34.0,4.0,15.0,28.0,14.0,2.0,2.0,1.45,4.09,0.0,0.0,0.0
0,Mikie Mahtook,32141,2021,1,1345,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Jason Adam,32145,2021,1,803,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,31.0,6.0,16.0,43.0,20.0,3.0,1.0,1.31,3.69,0.0,0.0,0.0
0,Marcus Semien,32146,2021,7,116,0,0,563.0,145.0,0.257548845,32.0,3.0,25.0,64.0,110.0,0.458259325,0.333333333,0.791592658,94.0,73.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Matt Barnes,32147,2021,1,216,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,49.0,8.0,26.0,93.0,33.0,3.0,4.0,1.3,3.71,15.0,18.0,0.0
0,Trevor Story,32150,2021,42,8,0,0,593.0,171.0,0.288364249,37.0,7.0,35.0,56.0,172.0,0.551433389,0.353658536,0.905091925,96.0,82.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Jeisson Rosario,40342,2021,1,3263,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Tyler Anderson,32151,2021,1,794,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,84.0,14.0,44.0,78.0,37.0,5.0,5.0,1.41,4.6,0.0,0.0,9.0
0,Bubba Starling,32152,2021,1,1153,0,0,59.0,13.0,0.220338981,2.0,0.0,1.0,3.0,16.0,0.305084743,0.258064514,0.563149256,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Gabriel Arias,40344,2021,1,1453,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Jorge Bonifacio,32153,2021,1,957,0,0,140.0,30.0,0.214285714,6.0,1.0,4.0,11.0,42.0,0.357142857,0.272727273,0.62987013,16.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,C.J. Cron,32155,2021,1,301,0,0,483.0,121.0,0.250517598,24.0,0.0,28.0,36.0,127.0,0.474120083,0.316479401,0.790599483,60.0,79.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Scott Barlow,32156,2021,1,640,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,70.0,9.0,35.0,84.0,32.0,2.0,6.0,1.38,4.26,6.0,17.0,0.0
0,Adrian Houser,32157,2021,1,410,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,154.0,21.0,76.0,142.0,60.0,10.0,8.0,1.35,4.3,0.0,0.0,15.0
0,Brandon Nimmo,32159,2021,2,197,0,0,460.0,119.0,0.258695652,25.0,6.0,18.0,90.0,138.0,0.456521739,0.39612676,0.852648499,84.0,55.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Daniel Johnson,40351,2021,1,545,0,0,55.0,15.0,0.272727271,4.0,1.0,2.0,4.0,13.0,0.490909088,0.327868851,0.818777939,8.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
