Sluggers , J.T. Realmuto , 20200213 , 99.54819277108435
Sluggers , J.T. Realmuto , 20200405 , 99.74508375819373
Sluggers , J.T. Realmuto , 20200606 , 99.75990396158463
Sluggers , J.T. Realmuto , 20200611 , 99.48453608247422
Sluggers , J.T. Realmuto , 20200210 , 99.4848070655031
Sluggers , J.T. Realmuto , 20200312 , 99.72177478400937
Sluggers , J.T. Realmuto , 20200418 , 99.94591671173607
Sluggers , J.T. Realmuto , 20200612 , 99.85380116959064
Sluggers , J.T. Realmuto , 20200216 , 99.62209701800192
Sluggers , J.T. Realmuto , 20200315 , 99.73031403927163
Sluggers , J.T. Realmuto , 20200411 , 99.7289972899729
Sluggers , J.T. Realmuto , 20200519 , 99.80276134122288
Sluggers , J.T. Realmuto , 20200616 , 99.3975903614458
Sluggers , J.T. Realmuto , 20200218 , 99.62394426977374
Sluggers , J.T. Realmuto , 20200518 , 99.71883786316776
Sluggers , J.T. Realmuto , 20200221 , 99.64073140650973
Sluggers , J.T. Realmuto , 20200626 , 99.62790697674419
Sluggers , J.T. Realmuto , 20200601 , 99.65635738831615
Sluggers , J.T. Realmuto , 20200419 , 99.83397897066962
Sluggers , J.T. Realmuto , 20200307 , 99.70880288867534
Sluggers , J.T. Realmuto , 20200520 , 99.62406015037594
Sluggers , J.T. Realmuto , 20200705 , 99.9072786277237
Sluggers , J.T. Realmuto , 20200410 , 99.86950848194867
Sluggers , J.T. Realmuto , 20200515 , 99.8062015503876
Sluggers , J.T. Realmuto , 20200522 , 99.9999
Sluggers , J.T. Realmuto , 20200622 , 99.9999
Sluggers , J.T. Realmuto , 20200701 , 99.84227129337539
Sluggers , J.T. Realmuto , 20200227 , 99.622424690142
Sluggers , J.T. Realmuto , 20200703 , 99.89637305699482
Sluggers , J.T. Realmuto , 20200508 , 99.82964224872232
Sluggers , J.T. Realmuto , 20200313 , 99.72165566886623
Sluggers , J.T. Realmuto , 20200327 , 99.72782580851745
Sluggers , J.T. Realmuto , 20200426 , 99.73597359735975
Sluggers , J.T. Realmuto , 20200607 , 99.76608187134502
